date,contributions,colour,weekday,week
2023-01-01,0,#ebedf0,1,1
2023-01-02,4,#9be9a8,2,1
2023-01-03,1,#9be9a8,3,1
2023-01-04,1,#9be9a8,4,1
2023-01-05,40,#216e39,5,1
2023-01-06,2,#9be9a8,6,1
2023-01-07,12,#40c463,7,1
2023-01-08,0,#ebedf0,1,2
2023-01-09,7,#9be9a8,2,2
2023-01-10,2,#9be9a8,3,2
2023-01-11,13,#40c463,4,2
2023-01-12,1,#9be9a8,5,2
2023-01-13,5,#9be9a8,6,2
2023-01-14,4,#9be9a8,7,2
2023-01-15,2,#9be9a8,1,3
2023-01-16,2,#9be9a8,2,3
2023-01-17,14,#40c463,3,3
2023-01-18,15,#40c463,4,3
2023-01-19,7,#9be9a8,5,3
2023-01-20,1,#9be9a8,6,3
2023-01-21,0,#ebedf0,7,3
2023-01-22,0,#ebedf0,1,4
2023-01-23,1,#9be9a8,2,4
2023-01-24,9,#9be9a8,3,4
2023-01-25,9,#9be9a8,4,4
2023-01-26,1,#9be9a8,5,4
2023-01-27,14,#40c463,6,4
2023-01-28,13,#40c463,7,4
2023-01-29,16,#40c463,1,5
2023-01-30,7,#9be9a8,2,5
2023-01-31,12,#40c463,3,5
2023-02-01,9,#9be9a8,4,5
2023-02-02,1,#9be9a8,5,5
2023-02-03,6,#9be9a8,6,5
2023-02-04,0,#ebedf0,7,5
2023-02-05,5,#9be9a8,1,6
2023-02-06,35,#216e39,2,6
2023-02-07,6,#9be9a8,3,6
2023-02-08,9,#9be9a8,4,6
2023-02-09,2,#9be9a8,5,6
2023-02-10,3,#9be9a8,6,6
2023-02-11,30,#30a14e,7,6
2023-02-12,16,#40c463,1,7
2023-02-13,3,#9be9a8,2,7
2023-02-14,17,#40c463,3,7
2023-02-15,25,#30a14e,4,7
2023-02-16,22,#30a14e,5,7
2023-02-17,16,#40c463,6,7
2023-02-18,16,#40c463,7,7
2023-02-19,22,#30a14e,1,8
2023-02-20,1,#9be9a8,2,8
2023-02-21,1,#9be9a8,3,8
2023-02-22,5,#9be9a8,4,8
2023-02-23,6,#9be9a8,5,8
2023-02-24,0,#ebedf0,6,8
2023-02-25,0,#ebedf0,7,8
2023-02-26,4,#9be9a8,1,9
2023-02-27,2,#9be9a8,2,9
2023-02-28,0,#ebedf0,3,9
2023-03-01,0,#ebedf0,4,9
2023-03-02,0,#ebedf0,5,9
2023-03-03,7,#9be9a8,6,9
2023-03-04,4,#9be9a8,7,9
2023-03-05,6,#9be9a8,1,10
2023-03-06,1,#9be9a8,2,10
2023-03-07,1,#9be9a8,3,10
2023-03-08,0,#ebedf0,4,10
2023-03-09,0,#ebedf0,5,10
2023-03-10,0,#ebedf0,6,10
2023-03-11,17,#40c463,7,10
2023-03-12,7,#9be9a8,1,11
2023-03-13,0,#ebedf0,2,11
2023-03-14,5,#9be9a8,3,11
2023-03-15,2,#9be9a8,4,11
2023-03-16,5,#9be9a8,5,11
2023-03-17,6,#9be9a8,6,11
2023-03-18,3,#9be9a8,7,11
2023-03-19,1,#9be9a8,1,12
2023-03-20,3,#9be9a8,2,12
2023-03-21,3,#9be9a8,3,12
2023-03-22,3,#9be9a8,4,12
2023-03-23,1,#9be9a8,5,12
2023-03-24,2,#9be9a8,6,12
2023-03-25,0,#ebedf0,7,12
2023-03-26,1,#9be9a8,1,13
2023-03-27,1,#9be9a8,2,13
2023-03-28,1,#9be9a8,3,13
2023-03-29,13,#40c463,4,13
2023-03-30,1,#9be9a8,5,13
2023-03-31,0,#ebedf0,6,13
2023-04-01,0,#ebedf0,7,13
2023-04-02,15,#40c463,1,14
2023-04-03,4,#9be9a8,2,14
2023-04-04,5,#9be9a8,3,14
2023-04-05,0,#ebedf0,4,14
2023-04-06,0,#ebedf0,5,14
2023-04-07,0,#ebedf0,6,14
2023-04-08,0,#ebedf0,7,14
2023-04-09,0,#ebedf0,1,15
2023-04-10,0,#ebedf0,2,15
2023-04-11,0,#ebedf0,3,15
2023-04-12,0,#ebedf0,4,15
2023-04-13,0,#ebedf0,5,15
2023-04-14,7,#9be9a8,6,15
2023-04-15,15,#40c463,7,15
2023-04-16,9,#9be9a8,1,16
2023-04-17,5,#9be9a8,2,16
2023-04-18,3,#9be9a8,3,16
2023-04-19,5,#9be9a8,4,16
2023-04-20,2,#9be9a8,5,16
2023-04-21,0,#ebedf0,6,16
2023-04-22,0,#ebedf0,7,16
2023-04-23,0,#ebedf0,1,17
2023-04-24,4,#9be9a8,2,17
2023-04-25,10,#9be9a8,3,17
2023-04-26,7,#9be9a8,4,17
2023-04-27,2,#9be9a8,5,17
2023-04-28,6,#9be9a8,6,17
2023-04-29,11,#40c463,7,17
2023-04-30,2,#9be9a8,1,18
2023-05-01,1,#9be9a8,2,18
2023-05-02,18,#40c463,3,18
2023-05-03,2,#9be9a8,4,18
2023-05-04,10,#9be9a8,5,18
2023-05-05,8,#9be9a8,6,18
2023-05-06,2,#9be9a8,7,18
2023-05-07,0,#ebedf0,1,19
2023-05-08,0,#ebedf0,2,19
2023-05-09,4,#9be9a8,3,19
2023-05-10,44,#216e39,4,19
2023-05-11,24,#30a14e,5,19
2023-05-12,5,#9be9a8,6,19
2023-05-13,0,#ebedf0,7,19
2023-05-14,0,#ebedf0,1,20
2023-05-15,10,#9be9a8,2,20
2023-05-16,8,#9be9a8,3,20
2023-05-17,5,#9be9a8,4,20
2023-05-18,6,#9be9a8,5,20
2023-05-19,47,#216e39,6,20
2023-05-20,0,#ebedf0,7,20
2023-05-21,6,#9be9a8,1,21
2023-05-22,24,#30a14e,2,21
2023-05-23,0,#ebedf0,3,21
2023-05-24,15,#40c463,4,21
2023-05-25,41,#216e39,5,21
2023-05-26,0,#ebedf0,6,21
2023-05-27,0,#ebedf0,7,21
2023-05-28,4,#9be9a8,1,22
2023-05-29,6,#9be9a8,2,22
2023-05-30,0,#ebedf0,3,22
2023-05-31,13,#40c463,4,22
2023-06-01,1,#9be9a8,5,22
2023-06-02,1,#9be9a8,6,22
2023-06-03,0,#ebedf0,7,22
2023-06-04,0,#ebedf0,1,23
2023-06-05,5,#9be9a8,2,23
2023-06-06,4,#9be9a8,3,23
2023-06-07,0,#ebedf0,4,23
2023-06-08,34,#216e39,5,23
2023-06-09,11,#40c463,6,23
2023-06-10,0,#ebedf0,7,23
2023-06-11,26,#30a14e,1,24
2023-06-12,3,#9be9a8,2,24
2023-06-13,1,#9be9a8,3,24
2023-06-14,0,#ebedf0,4,24
2023-06-15,8,#9be9a8,5,24
2023-06-16,0,#ebedf0,6,24
2023-06-17,0,#ebedf0,7,24
2023-06-18,0,#ebedf0,1,25
2023-06-19,0,#ebedf0,2,25
2023-06-20,7,#9be9a8,3,25
2023-06-21,0,#ebedf0,4,25
2023-06-22,0,#ebedf0,5,25
2023-06-23,0,#ebedf0,6,25
2023-06-24,0,#ebedf0,7,25
2023-06-25,22,#30a14e,1,26
2023-06-26,3,#9be9a8,2,26
2023-06-27,3,#9be9a8,3,26
2023-06-28,0,#ebedf0,4,26
2023-06-29,0,#ebedf0,5,26
2023-06-30,0,#ebedf0,6,26
2023-07-01,0,#ebedf0,7,26
2023-07-02,0,#ebedf0,1,27
2023-07-03,9,#9be9a8,2,27
2023-07-04,18,#40c463,3,27
2023-07-05,0,#ebedf0,4,27
2023-07-06,17,#40c463,5,27
2023-07-07,0,#ebedf0,6,27
2023-07-08,0,#ebedf0,7,27
2023-07-09,4,#9be9a8,1,28
2023-07-10,21,#30a14e,2,28
2023-07-11,14,#40c463,3,28
2023-07-12,5,#9be9a8,4,28
2023-07-13,7,#9be9a8,5,28
2023-07-14,15,#40c463,6,28
2023-07-15,0,#ebedf0,7,28
2023-07-16,14,#40c463,1,29
2023-07-17,1,#9be9a8,2,29
2023-07-18,6,#9be9a8,3,29
2023-07-19,24,#30a14e,4,29
2023-07-20,8,#9be9a8,5,29
2023-07-21,7,#9be9a8,6,29
2023-07-22,3,#9be9a8,7,29
2023-07-23,1,#9be9a8,1,30
2023-07-24,2,#9be9a8,2,30
2023-07-25,2,#9be9a8,3,30
2023-07-26,5,#9be9a8,4,30
2023-07-27,5,#9be9a8,5,30
2023-07-28,4,#9be9a8,6,30
2023-07-29,5,#9be9a8,7,30
2023-07-30,11,#40c463,1,31
2023-07-31,1,#9be9a8,2,31
2023-08-01,1,#9be9a8,3,31
2023-08-02,13,#40c463,4,31
2023-08-03,6,#9be9a8,5,31
2023-08-04,6,#9be9a8,6,31
2023-08-05,9,#9be9a8,7,31
2023-08-06,2,#9be9a8,1,32
2023-08-07,6,#9be9a8,2,32
2023-08-08,1,#9be9a8,3,32
2023-08-09,17,#40c463,4,32
2023-08-10,2,#9be9a8,5,32
2023-08-11,0,#ebedf0,6,32
2023-08-12,0,#ebedf0,7,32
2023-08-13,0,#ebedf0,1,33
2023-08-14,1,#9be9a8,2,33
2023-08-15,7,#9be9a8,3,33
2023-08-16,11,#40c463,4,33
2023-08-17,1,#9be9a8,5,33
2023-08-18,17,#40c463,6,33
2023-08-19,0,#ebedf0,7,33
2023-08-20,2,#9be9a8,1,34
2023-08-21,15,#40c463,2,34
2023-08-22,5,#9be9a8,3,34
2023-08-23,24,#30a14e,4,34
2023-08-24,14,#40c463,5,34
2023-08-25,15,#40c463,6,34
2023-08-26,23,#30a14e,7,34
2023-08-27,7,#9be9a8,1,35
2023-08-28,11,#40c463,2,35
2023-08-29,54,#216e39,3,35
2023-08-30,0,#ebedf0,4,35
2023-08-31,31,#216e39,5,35
2023-09-01,0,#ebedf0,6,35
2023-09-02,6,#9be9a8,7,35
2023-09-03,15,#40c463,1,36
2023-09-04,3,#9be9a8,2,36
2023-09-05,1,#9be9a8,3,36
2023-09-06,0,#ebedf0,4,36
2023-09-07,4,#9be9a8,5,36
2023-09-08,0,#ebedf0,6,36
2023-09-09,0,#ebedf0,7,36
2023-09-10,0,#ebedf0,1,37
2023-09-11,23,#30a14e,2,37
2023-09-12,2,#9be9a8,3,37
2023-09-13,2,#9be9a8,4,37
2023-09-14,12,#40c463,5,37
2023-09-15,4,#9be9a8,6,37
2023-09-16,0,#ebedf0,7,37
2023-09-17,2,#9be9a8,1,38
2023-09-18,7,#9be9a8,2,38
2023-09-19,0,#ebedf0,3,38
2023-09-20,5,#9be9a8,4,38
2023-09-21,35,#216e39,5,38
2023-09-22,27,#30a14e,6,38
2023-09-23,0,#ebedf0,7,38
2023-09-24,0,#ebedf0,1,39
2023-09-25,1,#9be9a8,2,39
2023-09-26,14,#40c463,3,39
2023-09-27,0,#ebedf0,4,39
2023-09-28,0,#ebedf0,5,39
2023-09-29,0,#ebedf0,6,39
2023-09-30,12,#40c463,7,39
2023-10-01,3,#9be9a8,1,40
2023-10-02,23,#30a14e,2,40
2023-10-03,4,#9be9a8,3,40
2023-10-04,2,#9be9a8,4,40
2023-10-05,4,#9be9a8,5,40
2023-10-06,9,#9be9a8,6,40
2023-10-07,0,#ebedf0,7,40
2023-10-08,31,#216e39,1,41
2023-10-09,5,#9be9a8,2,41
2023-10-10,10,#9be9a8,3,41
2023-10-11,19,#40c463,4,41
2023-10-12,41,#216e39,5,41
2023-10-13,39,#216e39,6,41
2023-10-14,40,#216e39,7,41
2023-10-15,2,#9be9a8,1,42
2023-10-16,13,#40c463,2,42
2023-10-17,1,#9be9a8,3,42
2023-10-18,1,#9be9a8,4,42
2023-10-19,5,#9be9a8,5,42
2023-10-20,15,#40c463,6,42
2023-10-21,6,#9be9a8,7,42
2023-10-22,0,#ebedf0,1,43
2023-10-23,14,#40c463,2,43
2023-10-24,30,#30a14e,3,43
2023-10-25,0,#ebedf0,4,43
2023-10-26,16,#40c463,5,43
2023-10-27,0,#ebedf0,6,43
2023-10-28,8,#9be9a8,7,43
2023-10-29,13,#40c463,1,44
2023-10-30,12,#40c463,2,44
2023-10-31,10,#9be9a8,3,44
2023-11-01,2,#9be9a8,4,44
2023-11-02,23,#30a14e,5,44
2023-11-03,1,#9be9a8,6,44
2023-11-04,0,#ebedf0,7,44
2023-11-05,8,#9be9a8,1,45
2023-11-06,12,#40c463,2,45
2023-11-07,13,#40c463,3,45
2023-11-08,10,#9be9a8,4,45
2023-11-09,15,#40c463,5,45
2023-11-10,3,#9be9a8,6,45
2023-11-11,0,#ebedf0,7,45
2023-11-12,7,#9be9a8,1,46
2023-11-13,0,#ebedf0,2,46
2023-11-14,14,#40c463,3,46
2023-11-15,0,#ebedf0,4,46
2023-11-16,0,#ebedf0,5,46
2023-11-17,0,#ebedf0,6,46
2023-11-18,20,#40c463,7,46
2023-11-19,25,#30a14e,1,47
2023-11-20,16,#40c463,2,47
2023-11-21,10,#9be9a8,3,47
2023-11-22,0,#ebedf0,4,47
2023-11-23,14,#40c463,5,47
2023-11-24,7,#9be9a8,6,47
2023-11-25,16,#40c463,7,47
2023-11-26,0,#ebedf0,1,48
2023-11-27,12,#40c463,2,48
2023-11-28,1,#9be9a8,3,48
2023-11-29,0,#ebedf0,4,48
2023-11-30,18,#40c463,5,48
2023-12-01,5,#9be9a8,6,48
2023-12-02,5,#9be9a8,7,48
2023-12-03,2,#9be9a8,1,49
2023-12-04,7,#9be9a8,2,49
2023-12-05,2,#9be9a8,3,49
2023-12-06,14,#40c463,4,49
2023-12-07,0,#ebedf0,5,49
2023-12-08,0,#ebedf0,6,49
2023-12-09,2,#9be9a8,7,49
2023-12-10,7,#9be9a8,1,50
2023-12-11,1,#9be9a8,2,50
2023-12-12,6,#9be9a8,3,50
2023-12-13,0,#ebedf0,4,50
2023-12-14,5,#9be9a8,5,50
2023-12-15,0,#ebedf0,6,50
2023-12-16,0,#ebedf0,7,50
2023-12-17,0,#ebedf0,1,51
2023-12-18,0,#ebedf0,2,51
2023-12-19,0,#ebedf0,3,51
2023-12-20,32,#216e39,4,51
2023-12-21,0,#ebedf0,5,51
2023-12-22,0,#ebedf0,6,51
2023-12-23,1,#9be9a8,7,51
2023-12-24,0,#ebedf0,1,52
2023-12-25,0,#ebedf0,2,52
2023-12-26,17,#40c463,3,52
2023-12-27,41,#216e39,4,52
2023-12-28,12,#40c463,5,52
2023-12-29,14,#40c463,6,52
2023-12-30,0,#ebedf0,7,52
2023-12-31,9,#9be9a8,1,53
